2026-09-24 15:29:32.255 PDT [1877464] LOG:  checkpoint complete: wrote 13 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 2 recycled; write=0.005 s, sync=0.034 s, total=0.062 s; sync files=15, longest=0.021 s, average=0.003 s; distance=30656 kB, estimate=757267 kB; lsn=1/4D9BBF88, redo lsn=1/4D9BBF30
2026-09-24 15:30:18.266 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:30:18.751 PDT [1877464] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 25 recycled; write=0.004 s, sync=0.365 s, total=0.486 s; sync files=20, longest=0.344 s, average=0.019 s; distance=402115 kB, estimate=721752 kB; lsn=1/6626CE28, redo lsn=1/6626CDD0
2026-09-24 15:30:19.736 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:30:19.884 PDT [1877464] LOG:  checkpoint complete: wrote 14090 buffers (21.5%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 7 recycled; write=0.085 s, sync=0.021 s, total=0.149 s; sync files=10, longest=0.006 s, average=0.003 s; distance=122455 kB, estimate=661822 kB; lsn=1/6DA02C78, redo lsn=1/6DA02C20
2026-09-24 15:30:24.465 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:30:24.644 PDT [1877464] LOG:  checkpoint complete: wrote 16082 buffers (24.5%), wrote 1 SLRU buffers; 0 WAL file(s) added, 7 removed, 2 recycled; write=0.097 s, sync=0.020 s, total=0.180 s; sync files=12, longest=0.006 s, average=0.002 s; distance=141852 kB, estimate=609825 kB; lsn=1/76489DE8, redo lsn=1/76489D90
2026-09-24 15:30:26.517 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:30:27.146 PDT [1877464] LOG:  checkpoint complete: wrote 41714 buffers (63.7%), wrote 1 SLRU buffers; 0 WAL file(s) added, 4 removed, 19 recycled; write=0.425 s, sync=0.086 s, total=0.629 s; sync files=3, longest=0.071 s, average=0.029 s; distance=374912 kB, estimate=586334 kB; lsn=1/8D2A9F78, redo lsn=1/8D2A9F20
2026-09-24 15:30:47.993 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:30:48.668 PDT [1877464] LOG:  checkpoint complete: wrote 2070 buffers (3.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 89 recycled; write=0.025 s, sync=0.282 s, total=0.675 s; sync files=36, longest=0.253 s, average=0.008 s; distance=1460803 kB, estimate=1460803 kB; lsn=1/E653AC78, redo lsn=1/E653AC20
2026-09-24 15:30:49.115 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:30:49.157 PDT [1877464] LOG:  checkpoint complete: wrote 692 buffers (1.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.009 s, sync=0.017 s, total=0.042 s; sync files=15, longest=0.006 s, average=0.002 s; distance=5348 kB, estimate=1315257 kB; lsn=1/E6A74030, redo lsn=1/E6A73FC0
2026-09-24 15:30:49.673 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:30:49.721 PDT [1877464] LOG:  checkpoint complete: wrote 917 buffers (1.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.011 s, sync=0.017 s, total=0.048 s; sync files=15, longest=0.006 s, average=0.002 s; distance=6965 kB, estimate=1184428 kB; lsn=1/E7141618, redo lsn=1/E71415C0
