2026-09-25 09:16:47.358 PDT [2049302] LOG:  checkpoint complete: wrote 10364 buffers (15.8%), wrote 1 SLRU buffers; 0 WAL file(s) added, 1 removed, 4 recycled; write=0.111 s, sync=0.010 s, total=0.156 s; sync files=3, longest=0.007 s, average=0.004 s; distance=74984 kB, estimate=130466 kB; lsn=0/7052EBB8, redo lsn=0/7052EB60
2026-09-25 09:17:00.551 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:17:01.071 PDT [2049302] LOG:  checkpoint complete: wrote 2076 buffers (3.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 58 recycled; write=0.024 s, sync=0.253 s, total=0.521 s; sync files=29, longest=0.231 s, average=0.009 s; distance=952177 kB, estimate=952177 kB; lsn=0/AA70B058, redo lsn=0/AA70B000
2026-09-25 09:17:04.275 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:17:04.322 PDT [2049302] LOG:  checkpoint complete: wrote 16 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.004 s, sync=0.023 s, total=0.047 s; sync files=15, longest=0.009 s, average=0.002 s; distance=10015 kB, estimate=857960 kB; lsn=0/AB0D2C58, redo lsn=0/AB0D2C00
2026-09-25 09:17:08.461 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:17:08.503 PDT [2049302] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.021 s, total=0.043 s; sync files=15, longest=0.008 s, average=0.002 s; distance=10414 kB, estimate=773206 kB; lsn=0/ABAFE5E8, redo lsn=0/ABAFE590
2026-09-25 09:17:14.067 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:17:14.112 PDT [2049302] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.004 s, sync=0.021 s, total=0.045 s; sync files=15, longest=0.008 s, average=0.002 s; distance=14449 kB, estimate=697330 kB; lsn=0/AC91AB18, redo lsn=0/AC91AAC0
2026-09-25 09:17:17.680 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:17:17.734 PDT [2049302] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 2 recycled; write=0.004 s, sync=0.026 s, total=0.054 s; sync files=15, longest=0.012 s, average=0.002 s; distance=31310 kB, estimate=630728 kB; lsn=0/AE7AE538, redo lsn=0/AE7AE4E0
2026-09-25 09:17:21.358 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:17:21.428 PDT [2049302] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 5 recycled; write=0.004 s, sync=0.031 s, total=0.070 s; sync files=15, longest=0.022 s, average=0.003 s; distance=84815 kB, estimate=576137 kB; lsn=0/B3A82230, redo lsn=0/B3A821D8
2026-09-25 09:17:24.284 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:17:24.324 PDT [2049302] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.020 s, total=0.040 s; sync files=15, longest=0.008 s, average=0.002 s; distance=5256 kB, estimate=519049 kB; lsn=0/B3FA4488, redo lsn=0/B3FA4430
